n	lnTxt	etiquetado	nbSyl	met	metNoExtra	lnTyp	match
chocano	si es el triunfo de un hombre en su caballo	si es el triunfo de un hombre en su caballo	11	1 3 5 6 10	1 3 6 10	Endecasílabo melódico corto	0.9
chocano	o si es la animación de una escultura	o si es la animación de una escultura	11	2 6 7 10	2 6 10	Endecasílabo heroico puro	0.9
chocano	En su tostada faz algo hay sombrío:	En su tostada faz algo hay sombrío:	11	4 6 7 8 10	4 6 8 10	Endecasílabo sáfico largo	0.9
chocano	tal vez la sensación de lo lejano,	tal vez la sensación de lo lejano,	11	1 2 6 10	2 6 10	Endecasílabo heroico puro	0.9
chocano	ya que ve dilatarse el océano	ya que ve dilatarse   el océno	11	1 3 6 10	1 3 6 10	Endecasílabo melódico corto	1.0
chocano	de la verdura al pie de su bohío	de la verdura al pie de su bohío	11	4 6 10	4 6 10	Endecasílabo sáfico corto	1.0
chocano	El encuadra al redor su sembradío	El encuadra al redor su sembradío	11	3 6 10	3 6 10	Endecasílabo melódico puro	1.0
chocano	y acaricia la tierra con su mano	y acaricia la tierra con su mano	11	3 6 10	3 6 10	Endecasílabo melódico puro	1.0
chocano	Enfrena un potro en la mitad de un llano	Enfrena un potro en la mitad de un llano	11	2 3 4 8 9 10	2 4 8 10	Endecasílabo sáfico largo pleno	0.8
chocano	o a nado se echa en la mitad de un río.	o a nado se echa en la mitad de un río.	11	2 4 8 9 10	2 4 8 10	Endecasílabo sáfico largo pleno	0.9
chocano	El, con un golpe, desjarreta un toro;	El, con un golpe, desjarreta un toro;	11	3 4 8 9 10	4 8 10	Endecasílabo sáfico puro	0.8
chocano	entra con su machete en el boscaje	entra con su machete en el boscaje	11	1 6 10	1 6 10	Endecasílabo enfático puro	1.0
chocano	y en el amor con su cantar sonoro,	y en el amor con su cantar sonoro,	11	4 8 10	4 8 10	Endecasílabo sáfico puro	1.0
chocano	porque el amor de la mujer ingrata	porque el amor de la mujer ingrata	11	4 8 10	4 8 10	Endecasílabo sáfico puro	1.0
chocano	brilla sobre su espíritu salvaje	brilla sobre su espíritu salvaje	11	1 6 10	1 6 10	Endecasílabo enfático puro	1.0
chocano	como un iris sobre una catarata	como un iris sobre una catarata	11	2 3 6 10	2 6 10	Endecasílabo heroico puro	0.9
chocano	Es la Pampa hecha hombre: es un pedazo	es la pampa hecha   hombre es un pedazo	11	1 3 4 6 7 8 10	1 3 6 8 10	Endecasílabo melódico pleno	0.8
chocano	de brava tierra sobre el sol tendida	de brava tierra sobre el sol tendida	11	2 4 8 10	2 4 8 10	Endecasílabo sáfico largo pleno	1.0
